time,top_1,top_5
81.4147,False,True
81.4981,False,True
81.5815,False,True
81.6649,False,True
81.7483,False,False
81.8317,False,False
81.9152,False,False
81.9986,False,False
82.082,False,False
82.1654,False,False
82.2488,False,False
82.3323,False,False
82.4157,False,False
82.4991,False,False
82.5825,False,False
82.6659,False,False
82.7493,False,False
82.8328,False,False
82.9162,False,False
82.9996,False,False
83.083,False,False
83.1664,False,False
83.2498,False,False
83.3333,False,False
83.4167,False,False
83.5001,False,False
83.5835,False,False
83.6669,False,False
83.7503,False,False
83.8337,False,False
83.9172,False,False
84.0006,False,False
84.084,False,False
84.1674,False,False
84.2508,False,False
84.3342,False,False
84.4177,False,False
84.5011,False,False
84.5845,False,False
84.6679,False,False
84.7513,False,False
84.8347,False,False
84.9182,False,False
85.0016,True,True
85.085,True,True
85.1684,True,True
85.2518,True,True
85.3353,True,True
85.4187,True,True
85.5021,True,True
85.5855,True,True
85.6689,True,True
85.7523,True,True
85.8358,True,True
85.9192,True,True
86.0026,False,False
86.086,False,False
86.1694,False,False
86.2528,False,False
86.3363,False,False
86.4197,False,False
86.5031,False,False
86.5865,False,False
86.6699,False,False
86.7533,False,False
86.8367,False,False
86.9202,False,False
87.0036,False,False
87.087,False,False
87.1704,False,False
87.2538,False,False
87.3372,False,False
87.4207,False,True
87.5041,False,True
87.5875,False,True
87.6709,False,True
87.7543,False,True
87.8377,False,False
87.9212,False,False
88.0046,False,False
88.088,False,False
88.1714,False,False
88.2548,False,False
88.3383,False,False
88.4217,False,False
88.5051,False,False
88.5885,False,False
88.6719,False,False
88.7553,False,False
88.8388,False,False
88.9222,False,False
89.0056,False,True
89.089,False,True
89.1724,False,True
89.2558,False,True
89.3393,False,True
89.4227,False,True
89.5061,False,True
89.5895,False,False
89.6729,False,False
89.7563,False,False
89.8397,False,False
89.9232,False,False
90.0066,False,False
90.09,False,False
90.1734,False,False
90.2568,False,False
90.3402,False,False
90.4237,False,False
90.5071,False,False
90.5905,False,False
90.6739,False,False
90.7573,False,False
90.8407,False,False
90.9242,False,False
91.0076,False,True
91.091,False,True
91.1744,False,True
91.2578,False,True
91.3413,False,True
91.4247,False,True
91.5081,False,True
91.5915,False,True
91.6749,False,True
91.7583,False,True
91.8418,False,True
91.9252,True,True
92.0086,True,True
92.092,True,True
92.1754,True,True
92.2588,True,True
92.3423,True,True
92.4257,True,True
92.5091,True,True
92.5925,True,True
92.6759,True,True
92.7593,True,True
92.8427,True,True
92.9262,True,True
93.0096,True,True
93.093,True,True
93.1764,True,True
93.2598,True,True
93.3432,True,True
93.4267,True,True
93.5101,True,True
93.5935,True,True
93.6769,True,True
93.7603,True,True
93.8438,True,True
93.9272,True,True
94.0106,True,True
94.094,True,True
94.1774,True,True
94.2608,True,True
94.3443,True,True
94.4277,True,True
94.5111,True,True
94.5945,True,True
94.6779,True,True
94.7613,True,True
94.8448,True,True
94.9282,True,True
95.0116,True,True
95.095,True,True
95.1784,True,True
95.2618,True,True
95.3453,True,True
95.4287,True,True
95.5121,True,True
95.5955,True,True
95.6789,True,True
95.7623,True,True
95.8457,True,True
95.9292,True,True
96.0126,True,True
96.096,True,True
96.1794,True,True
96.2628,True,True
96.3462,True,True
96.4297,True,True
96.5131,True,True
96.5965,True,True
96.6799,False,True
96.7633,False,True
96.8468,False,True
96.9302,False,True
97.0136,True,True
97.097,True,True
97.1804,True,True
97.2638,True,True
97.3473,True,True
97.4307,True,True
97.5141,True,True
97.5975,True,True
97.6809,True,True
97.7643,True,True
97.8478,True,True
97.9312,True,True
98.0146,False,False
98.098,False,False
98.1814,False,False
98.2648,False,False
98.3483,False,False
98.4317,False,False
98.5151,False,False
98.5985,False,False
98.6819,False,False
98.7653,False,False
98.8487,False,False
98.9322,False,False
99.0156,False,False
99.099,False,False
99.1824,False,False
99.2658,False,False
99.3492,False,False
99.4327,False,False
99.5161,False,False
99.5995,False,False
99.6829,False,False
99.7663,False,False
99.8498,False,False
99.9332,False,False
100.0166,False,False
100.1,False,False
100.1834,False,False
100.2668,False,False
100.3503,False,False
100.4337,False,False
100.5171,False,False
100.6005,False,False
100.6839,False,False
100.7673,False,False
100.8508,False,False
100.9342,False,True
101.0176,False,False
101.101,False,False
101.1844,False,False
101.2678,False,False
101.3513,False,False
101.4347,False,False
101.5181,False,False
101.6015,False,False
101.6849,False,False
101.7683,False,False
101.8517,False,False
101.9352,False,False
102.0186,False,False
102.102,False,False
102.1854,False,False
102.2688,False,False
102.3522,False,False
102.4357,False,False
102.5191,False,False
102.6025,False,False
102.6859,False,False
102.7693,False,False
102.8528,False,False
102.9362,False,False
103.0196,False,False
103.103,False,False
103.1864,False,False
103.2698,False,False
103.3533,False,False
103.4367,False,False
103.5201,False,False
103.6035,False,False
103.6869,False,False
103.7703,False,False
103.8538,False,False
103.9372,False,False
104.0206,False,False
104.104,False,False
104.1874,False,False
